Teste #,Nome do Modelo,Device,Parametros,Tamanho (MB),Inferencia (ms/img),F1-Global,F1-Strong,F1-Weak,IoU,AUPRC,FPR (No-Plume)
1,UNET_depth_reduced_mag1c_rgb,CUDA,1864705,7.15,14.35,,,,0.4597,0.6769,
1,UNET_mobilenetv3_mag1c_rgb,CPU,1651953,6.45,61.17,0.6499,0.6499,0.0,0.4814,0.6895,0.0
2,UNET_depth_reduced_mag1c_rgb,CPU,1864705,7.15,978.93,0.9255,0.9255,0.0,0.8613,0.9715,0.0
1,UNET_SkipConnections_mag1c_rgb,CPU,1680385,6.44,854.08,0.9009,0.9009,0.0,0.8197,0.9707,0.0
1,Mobile_Net_v2_mag1c_rgb,CPU,4132865,16.02,146.97,0.8643,0.8643,0.0,0.761,0.9439,0.0
2,UNET_SkipConnections_mag1c_rgb,CPU,1680385,6.44,835.64,0.9009,0.9009,0.0,0.8197,0.9707,0.0
3,UNET_depth_reduced_mag1c_rgb,CPU,1864705,7.15,972.49,0.9255,0.9255,0.0,0.8613,0.9715,0.0
1,Mobile_Net_v3_mag1c_rgb,CPU,1651953,6.45,57.64,0.6499,0.6499,0.0,0.4814,0.6895,0.0
1,UNET_mag1c_rgb,CPU,31038209,118.49,1481.75,0.8411,0.8411,0.0,0.7257,0.9259,0.0
2,UNET_mag1c_rgb,CUDA,31038209,118.49,23.09,0.6328,0.7728,0.5959,0.4628,0.6178,0.001308
