model,dataset,csv,sweep_samples,search_iterations,candidate_iterations,max_concurrency,max_runners,dpu_cores,warmup,final_warmup,final_repeats,quick_sweep,stage,run_id,repeat,profile,runners,pre_workers,post_workers,slots_per_runner,total_slots,pin,iterations,samples,cpu_cores,throughput_fps,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p95_ms,latency_p99_ms,dpu_mean_ms,preprocess_mean_ms,postprocess_mean_ms,io_mean_ms,wall_s,power_sensor_count,power_samples,power_mean_w,power_min_w,power_max_w,energy_j,status,result_dir
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,1,1,1,1,1,false,5,5,0,2.99539764341,333.590734,333.58178,333.54003,333.66631,333.650006,333.6630492,333.590734,0,0,0,1.66922746,1,10,19.511,14.475,20.462,32.5682969721,reused,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,2,1,1,1,2,false,5,5,0,4.95986196982,337.397312,337.07843,333.85434,340.15161,340.096444,340.1405768,337.397312,0,0,0,1.00809257,1,7,21.9587142857,14.512,26.637,22.1364167182,reused,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,3.27716611439,720.304312,840.29682,513.40108,868.49944,865.952916,867.9901352,337.054448,167.452526,6.95521,127.370904,1.52570844,1,9,21.3942222222,14.525,27.325,32.6413454117,reused,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,1.97775323483,1115.772506,1343.06957,508.55851,1355.11921,1354.17129,1354.929626,333.715896,165.486992,6.06481,126.344042,2.52812126,1,14,19.0015714286,14.512,20.85,48.038276702,reused,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,3.30718796204,576.539152,527.04287,509.39335,672.8194,669.71239,672.197998,336.316814,165.466896,6.141914,125.326612,1.51185843,1,9,20.8207777778,14.55,26.85,31.4780684025,reused,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,3.2935501459,716.869724,840.50194,513.15513,863.16017,860.169944,862.5621248,337.43486,166.239414,6.172414,126.914164,1.51811868,1,9,21.3108888889,14.4,26.95,32.3524585096,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c1,60_final_c1__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,3.30533240816,576.734424,526.64827,509.63,673.24277,670.18682,672.63158,336.341222,165.546516,6.186762,125.391972,1.51270716,1,9,20.922,14.437,26.7,31.6488592015,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/60_final_c1__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c2,60_final_c2__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,3.3020963385,716.288372,836.10766,513.05395,864.50753,861.317212,863.8694664,336.989136,165.60543,6.164476,126.382968,1.51418962,1,9,21.3746666667,14.425,27.137,32.3652983976,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/60_final_c2__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c3,60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,1.98324090042,1112.960386,1341.52931,508.52864,1349.62737,1349.53283,1349.608462,333.70922,164.111082,6.060892,124.957614,2.5211259,1,14,18.8864285714,14.45,20.587,47.6150642299,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_baseline.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,70_full_model_only,70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1,1,max-model-only,2,1,1,1,2,false,342,0,1,5.92614382216,337.074865351,337.759345,334.53489,341.83871,339.496467,340.1841224,337.074865351,0,0,0,57.71037799,1,289,26.5937612457,15.162,28.187,1534.73601366,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_baseline/runs/70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1"
