model,dataset,csv,sweep_samples,search_iterations,candidate_iterations,max_concurrency,max_runners,dpu_cores,warmup,final_warmup,final_repeats,quick_sweep,stage,run_id,repeat,profile,runners,pre_workers,post_workers,slots_per_runner,total_slots,pin,iterations,samples,cpu_cores,throughput_fps,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p95_ms,latency_p99_ms,dpu_mean_ms,preprocess_mean_ms,postprocess_mean_ms,io_mean_ms,wall_s,power_sensor_count,power_samples,power_mean_w,power_min_w,power_max_w,energy_j,status,result_dir
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,1,1,1,1,1,false,5,5,0,5.56660997705,179.3951,179.36266,179.35029,179.54836,179.51131,179.54095,179.3951,0,0,0,0.89821274,1,6,19.8603333333,14.987,21.225,17.8388044206,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,2,1,1,1,2,false,5,5,0,9.15468864153,182.756802,183.28798,179.70376,185.08054,184.797894,185.0240108,182.756802,0,0,0,0.54616822,1,4,20.35925,15,25.15,11.119575333,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.75758487484,468.820416,527.47057,358.83242,553.32649,550.546876,552.7705672,181.975744,165.535326,6.169778,126.25762,1.0509534,1,7,19.9675714286,14.925,26.425,20.9849870826,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,2.84648532331,745.451792,879.64516,358.38877,888.70692,888.352042,888.6359444,179.488594,165.385282,6.069854,126.073882,1.75655218,1,10,18.3635,14.887,21.1,32.2564459574,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.75726081451,360.415092,362.47384,346.25811,374.78431,372.328276,374.2931032,181.29977,166.81954,6.365256,125.979244,1.05102499,1,7,19.8978571429,14.862,21.325,20.9131451046,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.75414138486,469.445146,527.50052,359.94305,553.51778,550.839242,552.9820724,181.821726,165.278722,6.406212,126.057618,1.05171462,1,7,19.8891428571,14.85,26.362,20.9177023221,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c1,60_final_c1__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.74826196518,469.263426,528.78219,359.29458,552.67803,550.15576,552.173576,182.035442,165.698466,6.174834,126.359718,1.05301688,1,7,19.78,14.837,26.3,20.8286738864,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/60_final_c1__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c2,60_final_c2__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.76428867584,360.064208,362.15596,347.23927,372.96409,370.891024,372.5494768,181.305898,166.168192,6.324162,125.62484,1.04947461,1,7,19.8801428571,14.825,21.25,20.8637051717,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/60_final_c2__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c3,60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,2.85546089278,743.276096,879.08066,354.74419,887.48295,887.336168,887.4535936,179.506096,164.257692,6.09045,125.09306,1.75103081,1,10,18.4023,14.8,20.925,32.2229942749,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,70_full_model_only,70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1,1,max-model-only,2,1,1,1,2,false,342,0,1,10.879908115,183.810450994,183.782085,183.02955,186.7592,184.1298335,184.6961289,183.810450994,0,0,0,31.434089,1,158,26.7170632911,15.25,28.812,839.826545312,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,70_full_model_only,70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu2,1,max-model-only,2,1,1,1,2,false,342,0,2,10.9444643535,182.583731813,182.64359,180.65405,185.00487,183.033417,183.621767,182.583731813,0,0,0,31.24867412,1,157,26.620343949,15.212,28.262,831.850453026,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu2"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,70_full_model_only,70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu3,1,max-model-only,2,1,1,1,2,false,342,0,3,10.9490439355,182.507609357,182.571275,180.56156,184.86184,182.9000415,183.3750438,182.507609357,0,0,0,31.23560395,1,157,26.6283949045,15.262,28.325,831.75399706,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu3"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,70_full_model_only,70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu4,1,max-model-only,2,1,1,1,2,false,342,0,4,10.944761237,182.57780152,182.63065,180.68689,185.09957,183.0050605,183.6929084,182.57780152,0,0,0,31.24782648,1,157,26.6268216561,15.287,28.337,832.030302822,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu4"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,80_full_end_to_end,80_full_end_to_end__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1,1,max-e2e,2,1,1,1,2,false,342,0,1,5.52938189402,366.851503801,359.642695,306.27438,427.78661,405.886688,420.3778162,181.418763041,165.909759708,6.12070418129,122.223656199,61.85139796,1,310,20.6448032258,14.812,26.6,1276.90994013,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/80_full_end_to_end__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,80_full_end_to_end,80_full_end_to_end__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu2,1,max-e2e,2,1,1,1,2,false,342,0,2,5.63608464154,364.057848041,362.39875,308.47993,425.49724,391.179019,414.4577684,181.422157719,162.647259327,6.17096096491,121.775675322,60.68042298,1,304,20.9245427632,14.9,27.4,1269.71010553,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/80_full_end_to_end__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu2"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,80_full_end_to_end,80_full_end_to_end__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu3,1,max-e2e,2,1,1,1,2,false,342,0,3,5.64038677939,364.410578977,362.48035,308.47688,426.65402,391.957565,415.5605812,181.44608,162.527526959,6.17760023392,121.834843041,60.63413971,1,304,20.9785164474,14.925,27.237,1272.01429718,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/80_full_end_to_end__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu3"
"methane_depth_reduced.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,80_full_end_to_end,80_full_end_to_end__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu4,1,max-e2e,2,1,1,1,2,false,342,0,4,5.64421508321,364.285597485,362.03912,308.63754,426.19819,391.963254,415.3058907,181.449921784,162.284414883,6.14999807018,121.650854795,60.59301337,1,304,20.8788914474,14.912,27.4,1265.11494862,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_depth_reduced/runs/80_full_end_to_end__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu4"
