model,dataset,csv,sweep_samples,search_iterations,candidate_iterations,max_concurrency,max_runners,dpu_cores,warmup,final_warmup,final_repeats,quick_sweep,stage,run_id,repeat,profile,runners,pre_workers,post_workers,slots_per_runner,total_slots,pin,iterations,samples,cpu_cores,throughput_fps,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p95_ms,latency_p99_ms,dpu_mean_ms,preprocess_mean_ms,postprocess_mean_ms,io_mean_ms,wall_s,power_sensor_count,power_samples,power_mean_w,power_min_w,power_max_w,energy_j,status,result_dir
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,1,1,1,1,1,false,5,5,0,4.28391279023,233.181814,233.18389,232.96518,233.43164,233.392314,233.4237748,233.181814,0,0,0,1.16715728,1,7,14.9604285714,14.387,16.162,17.4611731191,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,2,1,1,1,2,false,5,5,0,7.09520191511,235.03141,235.25983,233.22843,236.25839,236.072902,236.2212924,235.03141,0,0,0,0.70470158,1,5,14.7148,14.4,15.025,10.3695428094,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.12340986368,554.1694,633.42517,411.88358,659.34597,657.12085,658.900946,235.169382,165.260562,6.10529,125.935314,1.21258865,1,8,15.088875,14.4,17.387,18.2965985663,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,2.47568626048,872.154628,1038.77345,408.74736,1049.07493,1048.854264,1049.0307968,233.325016,164.188972,6.083046,125.071536,2.01964202,1,12,15.0414166667,14.4,17.312,30.3782771403,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.13989894258,434.20488,416.31351,409.45397,472.42995,470.57124,472.058208,234.929466,163.390524,6.184138,124.052322,1.20775895,1,8,14.9465,14.4,15.625,18.0517691462,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.11890440043,555.912996,635.67675,413.24078,663.15856,660.141072,662.5550624,236.494718,166.263562,6.120338,126.144194,1.21391504,1,8,14.913875,14.4,16.075,18.1041771672,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c1,60_final_c1__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.14055282111,434.41525,415.51942,409.3144,474.09761,471.962018,473.6704916,234.877042,163.299608,6.225692,123.961468,1.20756822,1,8,15.102875,14.412,16.825,18.2377518806,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/60_final_c1__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c2,60_final_c2__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,4.12766893216,554.240348,633.97882,412.98483,658.63522,656.192372,658.1466504,235.340268,165.35033,6.180068,126.11564,1.21133746,1,8,15.216875,14.387,16.837,18.4327707116,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/60_final_c2__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c3,60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,2.47359734143,873.09453,1041.78228,408.70959,1049.66193,1049.552994,1049.6401428,233.78635,164.101034,6.042948,125.009976,2.02134758,1,12,14.92475,14.412,17.037,30.1681072946,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_mobilenet_v2.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,70_full_model_only,70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1,1,max-model-only,2,1,1,1,2,false,342,0,1,4.57953980152,436.690497836,436.495965,419.05079,446.79821,441.322915,444.2770904,436.690497836,0,0,0,74.67999293,1,374,15.0597139037,14.4,19.662,1124.65932786,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_mobilenet_v2/runs/70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1"
