model,dataset,id,has_plume,qplume,difficulty,TP,FP,FN,TN,precision,recall,f1,iou,accuracy
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t141549_r19200_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t141549_r18688_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t141549_r11008_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t141549_r6656_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t144405_r16384_c256_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t144405_r15616_c256_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t144405_r12032_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t144405_r19456_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t150906_r4352_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t150906_r1024_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t150906_r3072_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t150906_r7168_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t153724_r18688_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t153724_r18176_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t153724_r3840_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t153724_r13824_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t160154_r0_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t160154_r512_c0_w512_h512,False,0,no_plume,0,40,0,262104,0,0,0,0,0.999847412109
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t160154_r11776_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t160154_r9472_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t163108_r16896_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t163108_r13824_c0_w512_h512,False,0,no_plume,0,145,0,261999,0,0,0,0,0.999446868896
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t163108_r18176_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t163108_r1280_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t165503_r0_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t165503_r15616_c0_w512_h512,False,0,no_plume,0,706,0,261438,0,0,0,0,0.99730682373
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t165503_r1024_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t165503_r12288_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t172239_r1024_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t172239_r16384_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t172239_r11264_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t172239_r20224_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t174629_r512_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t174629_r0_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t174629_r19200_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t174629_r18432_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t181457_r256_c0_w512_h512,False,0,no_plume,0,414,0,261730,0,0,0,0,0.998420715332
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t181457_r1536_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t181457_r5632_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t181457_r2816_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t183859_r2048_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t183859_r256_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t183859_r6912_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t183859_r5632_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t190719_r256_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t190719_r3328_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t190719_r18944_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191018t190719_r11776_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t153008_r3584_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t153008_r9728_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t153008_r6400_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t153008_r1024_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t154726_r4608_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t154726_r4096_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t154726_r5632_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t154726_r7424_c0_w512_h512,False,0,no_plume,0,0,0,262144,0,0,0,0,1
methane_baseline.xmodel,"/home/root/STARCOP_test",ang20191021t160052_r9472_c0_w512_h512,False,0,weak,0,0,188,261956,0,0,0,0,0.999282836914
