============================================================
METHANE SEGMENTATION ZCU104 OPTIMIZED BENCHMARK
============================================================
Batch: 1 ALWAYS
Profile: max-e2e
Dataset images: 342
Runners: 2
Pre workers: 1
Post workers: 1
Slots/runner: 1
Pin: no
DPU subgraphs: 6 | CPU fallback subgraphs: 6
Input  : [1,512,512,4] INT8 fix=5
Output : [1,512,512,1] FLOAT32
[VAL 1/342] ang20191018t141549_r19200_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 2/342] ang20191018t141549_r18688_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 3/342] ang20191018t141549_r11008_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 4/342] ang20191018t141549_r6656_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 5/342] ang20191018t144405_r16384_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 6/342] ang20191018t144405_r15616_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 7/342] ang20191018t144405_r12032_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 8/342] ang20191018t144405_r19456_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 9/342] ang20191018t150906_r4352_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 10/342] ang20191018t150906_r1024_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 11/342] ang20191018t150906_r3072_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 12/342] ang20191018t150906_r7168_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 13/342] ang20191018t153724_r18688_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 14/342] ang20191018t153724_r18176_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 15/342] ang20191018t153724_r3840_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 16/342] ang20191018t153724_r13824_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 17/342] ang20191018t160154_r0_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 18/342] ang20191018t160154_r512_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 19/342] ang20191018t160154_r11776_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 20/342] ang20191018t160154_r9472_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 21/342] ang20191018t163108_r16896_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 22/342] ang20191018t163108_r13824_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 23/342] ang20191018t163108_r18176_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 24/342] ang20191018t163108_r1280_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 25/342] ang20191018t165503_r0_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 26/342] ang20191018t165503_r15616_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 27/342] ang20191018t165503_r1024_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 28/342] ang20191018t165503_r12288_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 29/342] ang20191018t172239_r1024_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 30/342] ang20191018t172239_r16384_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 31/342] ang20191018t172239_r11264_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 32/342] ang20191018t172239_r20224_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 33/342] ang20191018t174629_r512_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 34/342] ang20191018t174629_r0_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 35/342] ang20191018t174629_r19200_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 36/342] ang20191018t174629_r18432_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 37/342] ang20191018t181457_r256_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 38/342] ang20191018t181457_r1536_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 39/342] ang20191018t181457_r5632_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 40/342] ang20191018t181457_r2816_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 41/342] ang20191018t183859_r2048_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 42/342] ang20191018t183859_r256_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 43/342] ang20191018t183859_r6912_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 44/342] ang20191018t183859_r5632_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 45/342] ang20191018t190719_r256_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 46/342] ang20191018t190719_r3328_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 47/342] ang20191018t190719_r18944_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 48/342] ang20191018t190719_r11776_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 49/342] ang20191021t153008_r3584_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 50/342] ang20191021t153008_r9728_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 51/342] ang20191021t153008_r6400_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 52/342] ang20191021t153008_r1024_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 53/342] ang20191021t154726_r4608_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 54/342] ang20191021t154726_r4096_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 55/342] ang20191021t154726_r5632_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 56/342] ang20191021t154726_r7424_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 57/342] ang20191021t160052_r9472_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 58/342] ang20191021t160052_r4608_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 59/342] ang20191021t160052_r5120_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 60/342] ang20191021t160052_r2816_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 61/342] ang20191021t161810_r9728_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 62/342] ang20191021t161810_r9216_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 63/342] ang20191021t161810_r7424_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 64/342] ang20191021t161810_r2304_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 65/342] ang20191021t163119_r9984_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 66/342] ang20191021t163119_r9472_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 67/342] ang20191021t163119_r6656_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 68/342] ang20191021t163119_r5376_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 69/342] ang20191021t164905_r6656_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 70/342] ang20191021t164905_r7168_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 71/342] ang20191021t164905_r3328_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 72/342] ang20191021t164905_r8192_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 73/342] ang20191021t170142_r5888_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 74/342] ang20191021t170142_r6400_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 75/342] ang20191021t170142_r1280_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 76/342] ang20191021t170142_r9984_c0_w512_h512 F1=0.3038 IoU=0.1791
[VAL 77/342] ang20191021t171902_r5632_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 78/342] ang20191021t171902_r6144_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 79/342] ang20191021t171902_r2048_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 80/342] ang20191021t171902_r7424_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 81/342] ang20191021t173221_r10496_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 82/342] ang20191021t173221_r6144_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 83/342] ang20191021t173221_r9728_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 84/342] ang20191021t173221_r7936_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 85/342] ang20191021t174954_r10752_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 86/342] ang20191021t174954_r9472_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 87/342] ang20191021t174954_r2560_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 88/342] ang20191021t174954_r4096_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 89/342] ang20191021t180251_r1280_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 90/342] ang20191021t180251_r512_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 91/342] ang20191021t180251_r8448_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 92/342] ang20191021t180251_r4608_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 93/342] ang20191021t181927_r9728_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 94/342] ang20191021t181927_r1280_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 95/342] ang20191021t181927_r6656_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 96/342] ang20191021t181927_r2048_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 97/342] ang20191021t183204_r1280_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 98/342] ang20191021t183204_r9728_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 99/342] ang20191021t183204_r3584_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 100/342] ang20191021t183204_r10496_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 101/342] ang20191021t184841_r10752_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 102/342] ang20191021t184841_r10240_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 103/342] ang20191021t184841_r3840_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 104/342] ang20191021t184841_r9216_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 105/342] ang20191021t190136_r3584_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 106/342] ang20191021t190136_r10496_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 107/342] ang20191021t190136_r3072_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 108/342] ang20191021t190136_r256_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 109/342] ang20191021t191828_r10752_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 110/342] ang20191021t191828_r3584_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 111/342] ang20191021t191828_r4864_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 112/342] ang20191021t191828_r2304_c256_w512_h512 F1=0.0000 IoU=0.0000
[VAL 113/342] ang20191021t193145_r10752_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 114/342] ang20191021t193145_r10240_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 115/342] ang20191021t193145_r1536_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 116/342] ang20191021t193145_r2048_c0_w512_h512 F1=0.0000 IoU=0.0000
