model,dataset,csv,sweep_samples,search_iterations,candidate_iterations,max_concurrency,max_runners,dpu_cores,warmup,final_warmup,final_repeats,quick_sweep,stage,run_id,repeat,profile,runners,pre_workers,post_workers,slots_per_runner,total_slots,pin,iterations,samples,cpu_cores,throughput_fps,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p95_ms,latency_p99_ms,dpu_mean_ms,preprocess_mean_ms,postprocess_mean_ms,io_mean_ms,wall_s,power_sensor_count,power_samples,power_mean_w,power_min_w,power_max_w,energy_j,status,result_dir
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,1,1,1,1,1,false,5,5,0,6.4122362293,155.694838,155.6843,155.65721,155.77001,155.755108,155.7670296,155.694838,0,0,0,0.77975917,1,5,19.1822,14.487,21.15,14.9574963508,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/10_model_runners__max_model_only__r1_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,10_model_runners,10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-model-only,2,1,1,1,2,false,5,5,0,10.4871910602,161.475358,160.79476,156.00484,167.52277,166.866634,167.3915428,161.475358,0,0,0,0.47677209,1,4,20.34675,14.487,26.075,9.70076252221,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/10_model_runners__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,5.08452716252,434.103668,480.95816,337.77662,512.32497,508.954168,511.6508096,160.71658,165.428156,6.404334,126.158292,0.98337561,1,6,19.2308333333,14.5,25.712,18.91113246,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/20_e2e_runners__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,20_e2e_runners,20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,3.06508875979,685.885564,807.48107,330.662,815.81892,815.65878,815.786892,155.776972,164.086982,6.058732,125.001692,1.63127413,1,10,17.5408,14.562,21.162,28.6138532595,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/20_e2e_runners__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.95858264508,332.980272,331.46717,322.5719,342.67492,342.545602,342.6490564,157.741234,168.46982,6.117916,128.051374,1.00835266,1,7,19.3621428571,14.5,21.237,19.5238682533,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/30_pre_workers__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,30_pre_workers,30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,5.08626788441,433.84218,480.75426,337.60603,511.81327,508.502528,511.1511216,160.46228,165.332182,6.358824,126.079962,0.98303906,1,6,18.9915,14.525,25.812,18.669386308,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/30_pre_workers__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c1,60_final_c1__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,2,1,1,2,false,5,5,0,5.08827920178,433.18846,480.78234,337.18784,509.85286,506.833358,509.2489596,160.686228,165.46265,6.14296,126.174434,0.98265048,1,6,19.156,14.525,26.15,18.8236525949,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/60_final_c1__max_e2e__r2_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c2,60_final_c2__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,2,1,1,1,2,false,5,5,0,4.95653131946,333.039656,331.15866,322.90464,342.52345,342.51111,342.520982,157.723282,168.540166,6.11768,128.0844,1.00876998,1,7,19.7264285714,14.512,21.237,19.8994289555,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/60_final_c2__max_e2e__r2_pre1_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,60_final_c3,60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0,1,max-e2e,1,2,1,1,1,false,5,5,0,3.06265076626,686.421326,808.25233,330.61677,816.54482,816.369948,816.5098456,155.820976,164.213552,6.12523,125.072142,1.63257269,1,10,17.431,14.512,20.487,28.4573745594,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/60_final_c3__max_e2e__r1_pre2_post1_spr1_nopin__rep1__n5__samples5__cpu0"
"methane_skip_connections.xmodel","/home/root/STARCOP_test","/home/root/STARCOP_test/test.csv",5,5,5,2,2,2,2,20,1,true,70_full_model_only,70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1,1,max-model-only,2,1,1,1,2,false,342,0,1,12.3741921045,161.197579123,161.977785,157.56808,169.18289,165.6454125,168.5410149,161.197579123,0,0,0,27.63816798,1,139,25.5824028777,14.95,28.8,707.050748066,ok,"/home/root/Benchmark_ZCU104/results_all_models/methane_skip_connections/runs/70_full_model_only__max_model_only__r2_pre1_post1_spr1_nopin__rep1__n0__samples0__cpu1"
